x,y
-1.0,-9.5
-1.0,-5.662
-2.0,-5.391
-2.0,-6.75
-2.5,-6.75
-2.5,-5.178
-3.311,-4.701
-4.066,-4.066
-4.701,-3.311
-5.178,-2.5
-6.75,-2.5
-6.75,-2.0
-5.391,-2.0
-5.662,-1.0
-9.5,-1.0
-9.5,-0.5
-5.728,-0.5
-5.728,0.5
-9.5,0.5
-9.5,1.0
-5.662,1.0
-5.391,2.0
-6.75,2.0
-6.75,2.5
-5.178,2.5
-4.701,3.311
-4.066,4.066
-3.311,4.701
-2.5,5.178
-2.5,6.75
-2.0,6.75
-2.0,5.391
-1.0,5.662
-1.0,9.5
-0.5,9.5
-0.5,5.728
0.5,5.728
0.5,9.5
1.0,9.5
1.0,5.662
2.0,5.391
2.0,6.75
2.5,6.75
2.5,5.178
3.311,4.701
4.066,4.066
4.701,3.311
5.178,2.5
6.75,2.5
6.75,2.0
5.391,2.0
5.662,1.0
9.5,1.0
9.5,0.5
5.728,0.5
5.728,-0.5
9.5,-0.5
9.5,-1.0
5.662,-1.0
5.391,-2.0
6.75,-2.0
6.75,-2.5
5.178,-2.5
4.701,-3.311
4.066,-4.066
3.311,-4.701
2.5,-5.178
2.5,-6.75
2.0,-6.75
2.0,-5.391
1.0,-5.662
1.0,-9.5
0.5,-9.5
0.5,-5.728
-0.5,-5.728
-0.5,-9.5
