x,y
24.48, 37.36
24.72, 37.04
24.80, 36.72
24.88, 36.16
24.80, 35.68
24.96, 35.44
24.72, 34.80
25.04, 32.40
25.92, 30.16
26.56, 29.04
27.84, 27.28
29.12, 24.96
29.20, 23.28
30.80, 21.04
31.04, 19.36
31.44, 17.04
31.92, 14.72
31.92, 12.56
32.40, 10.96
33.28, 9.68
33.68, 9.12
33.92, 8.72
34.72, 8.32
35.36, 8.08
35.76, 8.16
35.92, 8.24
35.84, 7.84
34.80, 6.80
34.64, 6.64
33.92, 6.16
33.04, 6.32
32.96, 6.08
32.64, 5.68
32.48, 5.36
32.24, 5.20
31.84, 4.80
31.60, 4.64
31.36, 4.64
31.20, 4.48
31.12, 4.56
30.88, 4.40
30.48, 4.24
30.32, 4.32
30.16, 4.32
30.00, 4.40
29.76, 4.40
29.44, 4.40
29.12, 4.40
28.72, 4.48
28.40, 4.48
28.00, 4.72
27.84, 4.72
27.52, 4.96
27.20, 5.04
26.88, 5.28
26.56, 5.44
26.48, 5.60
26.08, 5.92
25.92, 6.24
25.76, 6.56
25.60, 6.88
25.36, 7.28
25.28, 7.44
25.12, 7.60
25.04, 7.92
25.04, 8.24
25.04, 8.40
24.96, 8.56
24.88, 8.80
24.88, 9.44
24.72, 9.60
24.72, 10.24
24.80, 10.48
24.72, 10.80
24.80, 10.96
24.72, 11.28
24.80, 11.52
24.72, 11.84
24.64, 12.16
24.32, 12.88
23.68, 13.60
23.36, 13.92
23.04, 13.60
22.72, 14.48
22.32, 14.80
22.00, 15.20
21.76, 15.60
21.60, 15.92
21.28, 16.40
20.88, 16.72
20.56, 17.28
20.32, 17.52
20.00, 17.92
19.68, 18.24
19.44, 18.48
19.12, 18.80
18.88, 19.04
18.32, 19.60
18.00, 19.76
17.92, 20.00
17.68, 20.40
17.52, 20.72
17.04, 21.28
16.64, 21.92
16.48, 22.16
16.40, 22.48
16.24, 22.72
16.08, 22.96
16.00, 23.60
15.76, 23.76
15.68, 24.08
15.60, 24.40
15.12, 25.12
14.96, 25.44
14.72, 26.08
14.64, 26.48
14.40, 26.88
14.24, 26.48
14.08, 27.92
13.84, 28.72
13.68, 29.28
13.60, 29.84
13.36, 30.56
13.36, 31.04
13.28, 31.20
13.20, 31.68
13.12, 32.16
12.96, 32.64
12.80, 33.20
12.56, 33.68
12.40, 34.00
12.16, 34.64
12.00, 35.04
11.84, 35.84
11.60, 36.24
11.44, 36.64
11.36, 37.12
11.20, 37.52
11.12, 37.84
11.20, 38.40
11.36, 38.72
11.60, 38.72
11.76, 38.56
11.92, 38.72
12.16, 39.04
12.24, 38.88
12.56, 38.72
12.80, 38.72
13.12, 38.48
13.20, 38.72
13.44, 38.40
13.52, 38.64
13.60, 38.56
13.68, 38.64
13.84, 38.80
13.92, 38.88
14.00, 38.88
14.16, 39.28
14.32, 39.36
14.64, 38.96
14.72, 38.80
14.88, 38.56
15.04, 38.40
15.28, 39.60
15.52, 38.64
15.52, 38.72
15.76, 38.56
15.92, 38.40
16.08, 38.48
16.16, 38.32
16.32, 38.32
16.48, 38.08
16.64, 38.08
16.72, 37.84
16.72, 37.60
17.04, 37.68
17.12, 37.52
17.60, 37.36
17.84, 37.12
18.40, 37.04
18.48, 36.96
18.72, 37.04
19.36, 37.20
19.76, 37.12
20.48, 37.04
21.04, 37.60
21.20, 37.44
21.60, 37.84
22.08, 37.76
22.16, 38.00
22.24, 39.12
22.32, 39.92
22.56, 40.40
22.40, 40.72
22.64, 41.36
22.88, 41.68
23.60, 42.00
24.80, 42.16
26.48, 42.72
27.76, 42.72
27.92, 42.64
27.76, 42.56
27.92, 42.40
28.00, 42.48
28.00, 42.40
28.24, 42.48
28.64, 42.88
28.56, 42.56
28.24, 42.24
28.16, 42.08
28.32, 41.84
28.48, 41.92
28.56, 41.84
28.80, 42.00
29.12, 42.08
29.04, 41.84
28.40, 41.36
28.88, 41.12
27.20, 40.88
26.40, 40.88
25.84, 40.80
25.20, 40.48
24.64, 40.00
24.56, 39.28
24.40, 38.40
24.32, 38.08
24.24, 37.92
24.16, 37.76
