cake_path,children,group,size_span,ratios_stdev,seconds
cakes/tournament/4444.csv,5,1,0.0015,3.6810,11.4955
cakes/tournament/4444.csv,5,2,0.3715,2.3668,17.3734
cakes/tournament/4444.csv,5,3,0.1464,5.1515,25.0869
cakes/tournament/4444.csv,5,4,0.1872,4.6475,15.8492
cakes/tournament/4444.csv,5,5,0.4205,2.6682,7.4368
cakes/tournament/4444.csv,5,6,0.4886,1.6148,44.1847
cakes/tournament/4444.csv,5,7,0.4849,1.8647,51.3619
cakes/tournament/4444.csv,5,8,0.2893,4.9732,90.0825
cakes/tournament/4444.csv,5,9,0.1776,3.0650,50.3832
cakes/tournament/4444.csv,5,10,10.5781,3.8193,276.4141
cakes/tournament/4444.csv,7,1,0.0014,4.1605,15.3518
cakes/tournament/4444.csv,7,2,0.7096,4.4078,8.2949
cakes/tournament/4444.csv,7,3,0.3932,3.7788,31.9648
cakes/tournament/4444.csv,7,4,0.1284,4.1413,24.5275
cakes/tournament/4444.csv,7,5,0.4800,6.7297,9.1453
cakes/tournament/4444.csv,7,6,0.4893,2.3453,65.3953
cakes/tournament/4444.csv,7,7,0.4911,3.3769,83.7473
cakes/tournament/4444.csv,7,8,0.4084,4.7102,137.4827
cakes/tournament/4444.csv,7,9,0.1296,5.8363,96.4576
cakes/tournament/4444.csv,7,10,0.0229,8.2413,261.2190
cakes/tournament/4444.csv,11,1,0.0017,5.8099,21.9752
cakes/tournament/4444.csv,11,2,0.4802,4.5564,108.1754
cakes/tournament/4444.csv,11,3,0.3854,4.8363,52.5411
cakes/tournament/4444.csv,11,4,0.0817,7.0428,194.6557
cakes/tournament/4444.csv,11,5,0.4873,13.1911,13.4328
cakes/tournament/4444.csv,11,6,0.4900,6.6694,97.3960
cakes/tournament/4444.csv,11,7,0.4980,3.2737,109.3020
cakes/tournament/4444.csv,11,8,-1,-1,300.0000
cakes/tournament/4444.csv,11,9,0.2104,1.7935,221.8103
cakes/tournament/4444.csv,11,10,0.0768,16.9566,265.6891
cakes/tournament/butterfly.csv,13,1,0.0210,4.2341,27.0389
cakes/tournament/butterfly.csv,13,2,0.3857,9.5532,18.2593
cakes/tournament/butterfly.csv,13,3,0.3840,1.1063,47.4242
cakes/tournament/butterfly.csv,13,4,-1,-1,300.0000
cakes/tournament/butterfly.csv,13,5,35.4281,12.4682,21.8049
cakes/tournament/butterfly.csv,13,6,0.4900,3.5492,108.4559
cakes/tournament/butterfly.csv,13,7,0.4606,1.2490,160.8128
cakes/tournament/butterfly.csv,13,8,-1,-1,300.0000
cakes/tournament/butterfly.csv,13,9,-1,-1,300.0000
cakes/tournament/butterfly.csv,13,10,0.0001,0.0180,96.8797
cakes/tournament/butterfly.csv,18,1,0.0214,3.1851,38.4441
cakes/tournament/butterfly.csv,18,2,0.4532,8.1771,249.1289
cakes/tournament/butterfly.csv,18,3,0.3193,0.4484,71.6043
cakes/tournament/butterfly.csv,18,4,-1,-1,300.0000
cakes/tournament/butterfly.csv,18,5,0.4647,12.3165,26.0836
cakes/tournament/butterfly.csv,18,6,0.4900,9.4066,142.5361
cakes/tournament/butterfly.csv,18,7,0.4565,1.1793,294.1153
cakes/tournament/butterfly.csv,18,8,-1,-1,300.0000
cakes/tournament/butterfly.csv,18,9,-1,-1,300.0000
cakes/tournament/butterfly.csv,18,10,0.0001,0.0036,57.9298
cakes/tournament/butterfly.csv,27,1,0.0019,8.3020,56.9464
cakes/tournament/butterfly.csv,27,2,-1,-1,300.0000
cakes/tournament/butterfly.csv,27,3,0.4474,0.3316,146.0744
cakes/tournament/butterfly.csv,27,4,-1,-1,300.0000
cakes/tournament/butterfly.csv,27,5,0.4924,12.8095,32.8684
cakes/tournament/butterfly.csv,27,6,0.4899,8.3557,215.2164
cakes/tournament/butterfly.csv,27,7,-1,-1,300.0000
cakes/tournament/butterfly.csv,27,8,-1,-1,300.0000
